property_id,metro,city,state,zip,beds,baths,sqft,lot_size,age,closed_price,predicted_fair_price,fair_price_low_95,fair_price_high_95,max_offer_price,review_flag,CBSA,CBSA_NAME,Final_City_Score
593,Lima,Delphos,OH,45833,3,1,1140,11600,74,145000,130891.8142,98168.86061,163614.7677,124347.2234,OK,46780,,0.597627891
594,Lima,Delphos,OH,45833,3,1,1140,11600,74,145000,128343.8302,96257.87265,160429.7877,121926.6387,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
595,Lima,Lima,OH,45807,2,1,757,11600,55,80500,102373.0074,76779.75556,127966.2593,97254.35704,REVIEW_REQUIRED,99999,,0.597627891
596,Lima,Lima,OH,45807,2,1,757,11600,55,80500,99825.02346,74868.76759,124781.2793,94833.77229,OK,30620,"Lima, OH",0.597627891
597,Lima,Bluffton,OH,45817,4,3,2595,16596,28,367500,350418.4588,262813.8441,438023.0734,332897.5358,REVIEW_REQUIRED,99999,,0.597627891
598,Lima,Bluffton,OH,45817,4,3,2595,16596,28,367500,350418.4588,262813.8441,438023.0734,332897.5358,REVIEW_REQUIRED,22300,,0.597627891
599,Lima,Bluffton,OH,45817,4,3,2595,16596,28,367500,349950.9743,262463.2308,437438.7179,332453.4256,OK,30620,"Lima, OH",0.597627891
600,Lima,Lima,OH,45805,3,2,1558,11600,38,229000,220570.4745,165427.8559,275713.0931,209541.9507,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
601,Lima,Lima,OH,45805,3,1.5,1524,11325,60,220000,192583.8638,144437.8978,240729.8297,182954.6706,OK,30620,"Lima, OH",0.597627891
602,Lima,Lima,OH,45806,3,2.5,1680,22781,66,225000,228122.6263,171091.9697,285153.2828,216716.495,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
603,Lima,Lima,OH,45806,3,2.5,1680,22781,66,225000,230670.6102,173002.9577,288338.2628,219137.0797,REVIEW_REQUIRED,47540,,0.597627891
604,Lima,Elida,OH,45807,3,2.5,1032,4356,175,165000,133117.9663,99838.4747,166397.4578,126462.0679,OK,99999,,0.597627891
605,Lima,Elida,OH,45807,3,2.5,1032,4356,175,165000,130569.9823,97927.48673,163212.4779,124041.4832,OK,30620,"Lima, OH",0.597627891
606,Lima,Lima,OH,45804,2,2,2272,20691,75,195350,251591.7629,188693.8221,314489.7036,239012.1747,OK,30620,"Lima, OH",0.597627891
607,Lima,Lima,OH,45806,3,2,1320,43560,65,99900,203779.7713,152834.8284,254724.7141,193590.7827,OK,30620,"Lima, OH",0.597627891
608,Lima,Lima,OH,45806,3,2,1320,43560,65,99900,206327.7552,154745.8164,257909.694,196011.3675,OK,47540,,0.597627891
609,Lima,Lima,OH,45805,3,2.5,2593,11600,67,250000,274873.4752,206155.1064,343591.844,261129.8014,OK,30620,"Lima, OH",0.597627891
610,Lima,Lima,OH,45801,3,2,1354,20037,65,225000,165968.4526,124476.3395,207460.5658,157670.03,OK,30620,"Lima, OH",0.597627891
611,Lima,Lima,OH,45801,3,2,1354,20037,65,225000,168516.4366,126387.3274,210645.5457,160090.6148,OK,47540,,0.597627891
612,Lima,Lima,OH,45805,3,2,1496,11600,79,210000,196972.4367,147729.3275,246215.5458,187123.8148,OK,30620,"Lima, OH",0.597627891
613,Lima,Lima,OH,45807,3,3,2343,87120,40,350000,379526.7499,284645.0624,474408.4373,360550.4124,REVIEW_REQUIRED,99999,,0.597627891
614,Lima,Lima,OH,45807,3,3,2343,87120,40,350000,379059.2654,284294.4491,473824.0818,360106.3022,OK,30620,"Lima, OH",0.597627891
615,Lima,Lima,OH,45805,4,3,1737,10240,30,315000,284061.0336,213045.7752,355076.292,269857.9819,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
616,Lima,Lima,OH,45804,3,2,1557,9278,74,180000,188535.7166,141401.7874,235669.6457,179108.9308,OK,30620,"Lima, OH",0.597627891
617,Lima,Lima,OH,45804,4,1.5,1450,7405,123,115000,153719.4476,115289.5857,192149.3095,146033.4753,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
618,Lima,Lima,OH,45801,4,1,1296,11600,105,95000,130665.435,97999.07622,163331.7937,124132.1632,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
619,Lima,Lima,OH,45801,4,1,1296,11600,105,95000,133213.4189,99910.06419,166516.7736,126552.748,REVIEW_REQUIRED,47540,,0.597627891
620,Lima,Lima,OH,45805,2,2,1330,11600,59,120000,160627.5501,120470.6625,200784.4376,152596.1726,OK,30620,"Lima, OH",0.597627891
621,Lima,Lima,OH,45804,3,1,1288,7361,105,25000,117873.0982,88404.82362,147341.3727,111979.4433,OK,30620,"Lima, OH",0.597627891
622,Lima,Bluffton,OH,45817,3,2,1400,13286,108,270900,178536.9369,133902.7027,223171.1711,169610.09,OK,99999,,0.597627891
623,Lima,Bluffton,OH,45817,3,2,1400,13286,108,270900,178536.9369,133902.7027,223171.1711,169610.09,OK,22300,,0.597627891
624,Lima,Bluffton,OH,45817,3,2,1400,13286,108,270900,175988.9529,131991.7147,219986.1912,167189.5053,OK,30620,"Lima, OH",0.597627891
625,Lima,Lima,OH,45807,3,2,1692,15768,31,275000,266995.3866,200246.54,333744.2333,253645.6173,REVIEW_REQUIRED,99999,,0.597627891
626,Lima,Lima,OH,45807,3,2,1692,15768,31,275000,264447.4027,198335.552,330559.2534,251225.0326,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
627,Lima,Lima,OH,45807,3,1,1424,11600,73,180000,162059.831,121544.8732,202574.7887,153956.8394,OK,99999,,0.597627891
628,Lima,Lima,OH,45807,3,1,1424,11600,73,180000,159511.847,119633.8853,199389.8088,151536.2547,OK,30620,"Lima, OH",0.597627891
629,Lima,Lima,OH,45805,3,2.5,2116,21780,48,272000,259673.1695,194754.8771,324591.4619,246689.511,OK,30620,"Lima, OH",0.597627891
630,Lima,Bluffton,OH,45817,3,2,1562,43560,47,360000,274333.2748,205749.9561,342916.5935,260616.6111,REVIEW_REQUIRED,99999,,0.597627891
631,Lima,Bluffton,OH,45817,3,2,1562,43560,47,360000,274333.2748,205749.9561,342916.5935,260616.6111,REVIEW_REQUIRED,22300,,0.597627891
632,Lima,Bluffton,OH,45817,3,2,1562,43560,47,360000,271785.2909,203838.9681,339731.6136,258196.0263,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
633,Lima,Lima,OH,45801,4,3,2333,11600,8,475000,446531.6409,334898.7307,558164.5511,424205.0589,OK,30620,"Lima, OH",0.597627891
634,Lima,Lima,OH,45801,4,3,2333,11600,8,475000,446999.1253,335249.344,558748.9067,424649.1691,OK,47540,,0.597627891
635,Lima,Lima,OH,45805,3,1.5,1412,6150,119,73000,115331.3413,86498.506,144164.1767,109564.7743,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
636,Lima,Lima,OH,45807,3,2,1350,11600,23,70000,180721.952,135541.464,225902.44,171685.8544,OK,99999,,0.597627891
637,Lima,Lima,OH,45807,3,2,1350,11600,23,70000,126813.6478,95110.23587,158517.0598,120472.9654,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
638,Lima,Lima,OH,45805,3,2.5,2070,11600,43,350000,252338.0314,189253.5235,315422.5392,239721.1298,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
639,Lima,Lima,OH,45805,3,2,1556,12196,57,229000,219762.528,164821.896,274703.1599,208774.4016,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
640,Lima,Lima,OH,45805,3,2,1248,12196,62,210000,172301.1837,129225.8878,215376.4796,163686.1245,REVIEW_REQUIRED,30620,"Lima, OH",0.597627891
641,Lima,Bluffton,OH,45817,4,2,1874,11600,76,300000,213651.2051,160238.4038,267064.0063,202968.6448,REVIEW_REQUIRED,99999,,0.597627891
